172.16.0.5,9863153,2179203,0.000000,0,1.835110,1,4.109983e+09,0,1
192.168.50.1,1682,734,1.822990,1,-0.399373,0,3.746632e+09,0,1
192.168.50.6,1361,319,47.008110,1,1.575531,1,5.197896e+09,0,2
192.168.50.253,256,62,0.000000,0,1.438106,1,1.831860e+10,0,1
192.168.50.8,2726,635,51.473701,1,1.601987,1,1.230961e+09,0,2
52.35.236.192,16,4,0.000000,0,1.309074,1,9.146217e+09,0,1
23.194.142.213,14,3,0.000000,0,1.975740,1,4.330830e+10,0,1
172.217.11.34,149,11,0.000000,0,10.854528,1,4.720140e+09,0,1
35.166.184.180,4,1,0.000000,0,1.309074,1,1.381101e+10,0,1
209.85.232.108,14,2,0.000000,0,4.309074,1,8.158544e+09,0,1
